CategorieSocioPro;Demande;Raison;Index
Professeurs et professions scientifiques;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;18
Professeurs et professions scientifiques;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;19
Professeurs et professions scientifiques;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;20
Professions de l'information, des arts et des spectacles;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;1
Professions de l'information, des arts et des spectacles;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;2
Professions de l'information, des arts et des spectacles;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;3
Professions de l'information, des arts et des spectacles;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;4
Professions de l'information, des arts et des spectacles;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;5
Professions de l'information, des arts et des spectacles;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;6
Professions de l'information, des arts et des spectacles;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;7
Professions de l'information, des arts et des spectacles;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;8
Professions de l'information, des arts et des spectacles;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;9
Professions de l'information, des arts et des spectacles;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;10
Cadres administratifs et commerciaux d'entreprise;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;1
Cadres administratifs et commerciaux d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;2
Cadres administratifs et commerciaux d'entreprise;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;3
Cadres administratifs et commerciaux d'entreprise;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;4
Cadres administratifs et commerciaux d'entreprise;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;5
Cadres administratifs et commerciaux d'entreprise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;6
Cadres administratifs et commerciaux d'entreprise;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;7
Cadres administratifs et commerciaux d'entreprise;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;8
Cadres administratifs et commerciaux d'entreprise;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;9
Cadres administratifs et commerciaux d'entreprise;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;10
Cadres administratifs et commerciaux d'entreprise;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;11
Cadres administratifs et commerciaux d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;12
Cadres administratifs et commerciaux d'entreprise;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;13
Cadres administratifs et commerciaux d'entreprise;Soutien aux jeunes entrepreneurs;Les jeunes ont des idées innovantes mais manquent de moyens pour les réaliser, ce qui freine leur potentiel.;14
Cadres administratifs et commerciaux d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;15
Cadres administratifs et commerciaux d'entreprise;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;16
Cadres administratifs et commerciaux d'entreprise;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;17
Cadres administratifs et commerciaux d'entreprise;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;18
Cadres administratifs et commerciaux d'entreprise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;19
Cadres administratifs et commerciaux d'entreprise;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;20
Ingénieurs et cadres techniques d'entreprise;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;1
Ingénieurs et cadres techniques d'entreprise;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;2
Ingénieurs et cadres techniques d'entreprise;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;3
Ingénieurs et cadres techniques d'entreprise;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;4
Ingénieurs et cadres techniques d'entreprise;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;5
Ingénieurs et cadres techniques d'entreprise;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;6
Ingénieurs et cadres techniques d'entreprise;Augmentation des salaires des fonctionnaires;Les salaires sont gelés depuis trop longtemps, c'est décourageant.;7
Ingénieurs et cadres techniques d'entreprise;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;8
Ingénieurs et cadres techniques d'entreprise;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;9
Ingénieurs et cadres techniques d'entreprise;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;10
Ingénieurs et cadres techniques d'entreprise;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;11
Ingénieurs et cadres techniques d'entreprise;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;12
Ingénieurs et cadres techniques d'entreprise;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;13
Ingénieurs et cadres techniques d'entreprise;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;14
Ingénieurs et cadres techniques d'entreprise;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;15
Ingénieurs et cadres techniques d'entreprise;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;16
Ingénieurs et cadres techniques d'entreprise;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;17
Ingénieurs et cadres techniques d'entreprise;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;18
Ingénieurs et cadres techniques d'entreprise;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;19
Ingénieurs et cadres techniques d'entreprise;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;20
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;1
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;2
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;3
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;4
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;5
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;6
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;7
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Meilleure accessibilité des bâtiments publics;Les personnes à mobilité réduite rencontrent encore trop d'obstacles, ce qui limite leur autonomie.;8
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;9
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;10
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;11
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;12
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;13
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;14
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;15
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;16
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;17
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;18
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;19
Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;20
Professions intermédiaires administratives et commerciales des entreprises;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;1
Professions intermédiaires administratives et commerciales des entreprises;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;2
Professions intermédiaires administratives et commerciales des entreprises;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;3
Professions intermédiaires administratives et commerciales des entreprises;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;4
Professions intermédiaires administratives et commerciales des entreprises;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;5
Professions intermédiaires administratives et commerciales des entreprises;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;6
Professions intermédiaires administratives et commerciales des entreprises;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;7
Professions intermédiaires administratives et commerciales des entreprises;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;8
Professions intermédiaires administratives et commerciales des entreprises;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;9
Professions intermédiaires administratives et commerciales des entreprises;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;10
Professions intermédiaires administratives et commerciales des entreprises;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;11
Professions intermédiaires administratives et commerciales des entreprises;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;12
Professions intermédiaires administratives et commerciales des entreprises;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;13
Professions intermédiaires administratives et commerciales des entreprises;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;14
Professions intermédiaires administratives et commerciales des entreprises;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;15
Professions intermédiaires administratives et commerciales des entreprises;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;16
Professions intermédiaires administratives et commerciales des entreprises;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;17
Professions intermédiaires administratives et commerciales des entreprises;Amélioration de la sécurité au travail;Les accidents sont fréquents et les mesures de sécurité sont insuffisantes.;18
Professions intermédiaires administratives et commerciales des entreprises;Renforcement de la lutte contre la discrimination au travail;Les inégalités de traitement persistent malgré les lois existantes.;19
Professions intermédiaires administratives et commerciales des entreprises;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;20
Techniciens;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;1
Techniciens;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;2
Techniciens;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;3
Techniciens;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;4
Techniciens;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;5
Techniciens;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;6
Techniciens;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;7
Techniciens;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;8
Techniciens;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;9
Techniciens;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;10
Techniciens;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;11
Techniciens;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;12
Techniciens;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;13
Techniciens;Accès à des soins de santé mentale;Les services de santé mentale sont débordés et beaucoup ne peuvent pas obtenir l'aide dont ils ont besoin.;14
Techniciens;Augmentation des pensions d'invalidité;Les personnes handicapées ne reçoivent pas assez de soutien financier, ce qui les laisse souvent dans des situations très difficiles.;15
Techniciens;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;16
Techniciens;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;17
Techniciens;Amélioration des conditions de travail pour les enseignants;Les enseignants sont surchargés et manquent de ressources, ce qui affecte la qualité de l'enseignement.;18
Techniciens;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;19
Techniciens;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;20
Contremaîtres, agents de maîtrise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;1
Contremaîtres, agents de maîtrise;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;2
Contremaîtres, agents de maîtrise;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;3
Contremaîtres, agents de maîtrise;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;4
Contremaîtres, agents de maîtrise;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;5
Contremaîtres, agents de maîtrise;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;6
Contremaîtres, agents de maîtrise;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;7
Contremaîtres, agents de maîtrise;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;8
Contremaîtres, agents de maîtrise;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;9
Contremaîtres, agents de maîtrise;Soutien à l'artisanat local;Le commerce en ligne nous écrase et on perd notre clientèle fidèle.;10
Contremaîtres, agents de maîtrise;Programmes de reconversion professionnelle;Les opportunités sont limitées, nous avons besoin de nouvelles compétences.;11
Contremaîtres, agents de maîtrise;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;12
Contremaîtres, agents de maîtrise;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;13
Contremaîtres, agents de maîtrise;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;14
Contremaîtres, agents de maîtrise;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;15
Contremaîtres, agents de maîtrise;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;16
Contremaîtres, agents de maîtrise;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;17
Contremaîtres, agents de maîtrise;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;18
Contremaîtres, agents de maîtrise;Soutien aux travailleurs indépendants;Les charges sociales et fiscales sont trop lourdes pour les auto-entrepreneurs.;19
Contremaîtres, agents de maîtrise;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;20
Employés civils et agents de service de la fonction publique;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;1
Employés civils et agents de service de la fonction publique;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;2
Employés civils et agents de service de la fonction publique;Amélioration des infrastructures urbaines;Les rues sont en mauvais état, cela dissuade les clients de venir.;3
Employés civils et agents de service de la fonction publique;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;4
Employés civils et agents de service de la fonction publique;Promotion de l'égalité salariale entre hommes et femmes;Il existe encore un écart salarial important entre les sexes.;5
Employés civils et agents de service de la fonction publique;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;6
Employés civils et agents de service de la fonction publique;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;7
Employés civils et agents de service de la fonction publique;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;8
Employés civils et agents de service de la fonction publique;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;9
Employés civils et agents de service de la fonction publique;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;10
Employés civils et agents de service de la fonction publique;Réduction des inégalités d'accès à la technologie;Tout le monde doit pouvoir bénéficier des avancées technologiques pour ne pas être laissé de côté.;11
Employés civils et agents de service de la fonction publique;Amélioration des infrastructures routières;Les routes sont dangereuses, c'est un risque quotidien pour nous.;12
Employés civils et agents de service de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;13
Employés civils et agents de service de la fonction publique;Promotion de la diversité culturelle;Il est important de valoriser la richesse culturelle de notre pays pour éviter que certaines communautés ne se sentent exclues.;14
Employés civils et agents de service de la fonction publique;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;15
Employés civils et agents de service de la fonction publique;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;16
Employés civils et agents de service de la fonction publique;Soutien aux industries culturelles;La pandémie a durement frappé ce secteur, nous sommes au bord du gouffre.;17
Employés civils et agents de service de la fonction publique;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;18
Employés civils et agents de service de la fonction publique;Soutien à l'agriculture biologique;L'agriculture durable est cruciale pour la santé et l'environnement, et le manque de soutien actuel met les agriculteurs dans une position délicate.;19
Employés civils et agents de service de la fonction publique;Réduction des frais de scolarité;L'éducation doit être accessible à tous, c'est crucial pour l'avenir.;20
Employés civils et agents de service de la fonction publique;Lutte contre le harcèlement scolaire;Les enfants doivent pouvoir aller à l'école sans crainte de subir des mauvais traitements.;21
Employés civils et agents de service de la fonction publique;Télétravail et flexibilité des horaires;Nous avons besoin de plus de flexibilité pour mieux concilier vie professionnelle et personnelle.;22
Employés civils et agents de service de la fonction publique;Promotion du télétravail;Le télétravail permet de mieux concilier vie professionnelle et personnelle, et devrait être plus largement accessible.;23
Employés civils et agents de service de la fonction publique;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;24
Employés civils et agents de service de la fonction publique;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;25
Employés civils et agents de service de la fonction publique;Soutien aux familles monoparentales;Les parents seuls ont du mal à concilier vie professionnelle et vie familiale.;26
Employés civils et agents de service de la fonction publique;Protection de l'environnement;Les politiques actuelles ne font pas assez pour lutter contre le changement climatique.;27
Employés civils et agents de service de la fonction publique;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;28
Employés civils et agents de service de la fonction publique;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;29
Employés civils et agents de service de la fonction publique;Réduction de la charge fiscale sur les entreprises;Les impôts sont trop élevés, nous avons du mal à rester à flot.;30
Employés civils et agents de service de la fonction publique;Augmentation des salaires minimum;Le coût de la vie augmente, nous ne pouvons plus joindre les deux bouts.;31
Employés civils et agents de service de la fonction publique;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;32
Employés civils et agents de service de la fonction publique;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;33
Employés civils et agents de service de la fonction publique;Réduction des frais médicaux;Les dépenses de santé sont difficiles à supporter pour les familles modestes.;34
Employés civils et agents de service de la fonction publique;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;35
Employés civils et agents de service de la fonction publique;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;36
Employés civils et agents de service de la fonction publique;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;37
Employés civils et agents de service de la fonction publique;Réduction des délais d'attente pour les soins médicaux;Les patients doivent attendre trop longtemps pour obtenir des soins de qualité.;38
Employés civils et agents de service de la fonction publique;Augmentation des aides sociales;Les aides actuelles ne suffisent pas à couvrir les besoins essentiels des plus démunis, ce qui complique énormément leur quotidien.;39
Employés civils et agents de service de la fonction publique;Réduction du temps de travail;Les journées de travail sont trop longues et nuisent à notre santé.;40
Employés civils et agents de service de la fonction publique;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;41
Employés civils et agents de service de la fonction publique;Soutien aux familles nombreuses;Les familles nombreuses ont des besoins spécifiques qui ne sont pas toujours pris en compte, ce qui complique leur gestion quotidienne.;42
Employés civils et agents de service de la fonction publique;Soutien aux personnes sans emploi;La précarité est difficile à vivre, nous avons besoin de soutien.;43
Employés civils et agents de service de la fonction publique;Augmentation des pensions de retraite;Le coût de la vie augmente, notre pension ne suffit plus.;44
Employés civils et agents de service de la fonction publique;Soutien aux industries locales;La délocalisation menace nos emplois, nous avons peur de perdre notre travail.;45
Employés civils et agents de service de la fonction publique;Soutien psychologique pour les travailleurs;Le stress au travail est un problème majeur qui affecte la productivité et le bien-être.;46
Employés civils et agents de service de la fonction publique;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;47
Employés civils et agents de service de la fonction publique;Soutien à l'innovation entrepreneuriale;Les startups ont besoin de plus de financement pour se développer.;48
Employés civils et agents de service de la fonction publique;Amélioration des conditions de travail dans les hôpitaux;Les personnels soignants sont épuisés et les conditions de travail se détériorent.;49
Employés civils et agents de service de la fonction publique;Investissements dans l'innovation technologique;Nous devons rester compétitifs au niveau mondial, sinon nous serons dépassés.;50
Policiers et militaires;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;1
Policiers et militaires;Formation continue pour les techniciens;Nous avons besoin de mise à jour régulière des compétences pour ne pas être dépassés.;2
Policiers et militaires;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;3
Policiers et militaires;Reconnaissance des compétences des contremaîtres;Notre rôle est crucial mais souvent sous-estimé.;4
Policiers et militaires;Soutien aux petits commerces;La concurrence des grandes surfaces est écrasante, nous ne survivrons pas longtemps.;5
Policiers et militaires;Développement des transports publics;Les transports en commun sont insuffisants et mal desservis dans les zones rurales.;6
Policiers et militaires;Amélioration des conditions de travail;Les conditions actuelles sont épuisantes, nous ne pouvons pas continuer ainsi.;7
Policiers et militaires;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;8
Policiers et militaires;Augmentation des allocations familiales;Les coûts liés à l'éducation des enfants sont de plus en plus élevés.;9
Policiers et militaires;Augmentation des effectifs de police;Les équipes sont en sous-effectif, c'est stressant et dangereux.;10
Policiers et militaires;Soutien à la transition énergétique;Nous devons réduire notre dépendance aux énergies fossiles pour un avenir plus durable.;11
Policiers et militaires;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;12
Policiers et militaires;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;13
Policiers et militaires;Création d'emplois et formations;Nous avons besoin d'opportunités pour sortir du chômage.;14
Policiers et militaires;Accès à l'éducation pour les adultes;Beaucoup d'adultes n'ont pas les compétences nécessaires pour les emplois actuels.;15
Policiers et militaires;Amélioration des services publics;Les ressources sont insuffisantes, nous ne pouvons pas bien faire notre travail.;16
Policiers et militaires;Simplification des démarches administratives;Les formalités sont trop complexes et nous font perdre un temps précieux.;17
Policiers et militaires;Augmentation des budgets pour la recherche;Les financements sont insuffisants, nous ne pouvons pas avancer.;18
Policiers et militaires;Révision des honoraires des professions libérales;Les tarifs actuels ne nous permettent plus de vivre correctement.;19
Policiers et militaires;Stabilisation des contrats de travail;Le précariat est trop répandu, nous avons besoin de sécurité.;20
Employés administratifs d'entreprise;Amélioration des services de garde d'enfants;Les places en crèche sont insuffisantes, ce qui complique la vie des parents qui travaillent.;1
Employés administratifs d'entreprise;Création de logements sociaux;Il y a une pénurie de logements abordables pour les familles à faible revenu.;2
